Age,Job,Marital,Qualification,Default_Premium,Health_Insurance,General_Insurance,Contact,Month,Last_Contact_Day,Last_Contact_Duration,Contacts_During_Campaign,Previous_Contact_Days,Contacts_Before_Campaign,Previous_Outcome,Employement_Rates,Price_Variation,Consumer_Confidence_Index,Insurance_Rate,No_Employees,Client_Subscribed
40,1,1,0,0,0,2,1,6,1,178,1,999,0,1,1.1,92.93698251,-44.70730911,6.108457639,5031.638029,0
35,0,1,4,0,2,0,1,6,1,355,1,999,0,1,1.1,94.02918826,-38.49135787,5.955118097,5147.649269,0
45,1,1,0,0,2,0,1,6,1,225,2,999,0,1,1.1,93.28609407,-32.8866042,5.225396475,5176.168056,0
54,0,1,1,0,0,0,1,6,1,160,1,999,0,1,1.1,93.53792673,-46.30142789,2.654183583,5075.783805,0
39,3,1,0,0,0,2,1,6,1,266,1,999,0,1,1.1,93.98080299,-49.04384859,3.73231565,5244.160717,0
60,0,1,1,0,0,0,1,6,1,253,1,999,0,1,1.1,92.53980541,-41.56544348,4.151184802,5151.631207,0
53,0,2,3,0,0,0,1,6,1,179,1,999,0,1,1.1,94.45919508,-36.13767544,3.004991406,5097.171767,0
55,1,1,0,1,0,0,1,6,1,269,2,999,0,1,1.1,93.60750592,-44.42329194,5.618846374,5156.08292,0
55,9,1,3,1,2,0,1,6,1,135,1,999,0,1,1.1,93.83989595,-36.518613,1.540229734,5146.950698,0
50,4,1,4,1,0,2,1,6,1,161,1,999,0,1,1.1,93.31930795,-37.10264944,5.835619893,5066.211045,0
45,7,1,1,1,2,0,1,6,1,787,1,999,0,1,1.1,92.33140929,-42.92365945,5.322665134,5168.200945,0
55,10,1,3,1,2,2,1,6,1,145,1,999,0,1,1.1,93.3580905,-46.70209779,5.807230899,5243.944422,0
25,9,2,4,0,2,0,1,6,1,174,1,999,0,1,1.1,93.22763358,-41.83561142,1.104297968,5260.348107,0
47,2,1,4,1,0,0,1,6,1,449,1,999,0,1,1.1,94.29651154,-42.39236606,4.570686749,5267.225845,0
51,1,1,0,0,2,0,1,6,1,812,1,999,0,1,1.1,94.05131196,-39.75095112,5.042135744,5112.146416,0
42,1,1,0,1,2,0,1,6,1,164,1,999,0,1,1.1,94.05378386,-45.94637573,6.757103232,5108.350623,0
42,1,1,0,1,0,0,1,6,1,366,1,999,0,1,1.1,94.11722272,-44.88242301,3.086388458,5335.15552,0
48,0,1,1,0,0,0,1,6,1,357,1,999,0,1,1.1,92.271593,-38.69405185,4.11005361,5110.628755,0
37,0,1,4,0,0,0,1,6,1,232,1,999,0,1,1.1,94.2921433,-36.16945395,3.415984144,5215.260873,0
44,1,2,0,0,2,0,1,6,1,91,1,999,0,1,1.1,93.67271595,-38.24831947,4.252282387,5216.28783,0
33,0,1,5,0,2,0,1,6,1,273,1,999,0,1,1.1,93.30056355,-37.15207587,5.046724061,5084.579257,0
56,0,1,0,0,2,0,1,6,1,158,2,999,0,1,1.1,94.31246136,-51.64155336,4.831298812,5132.471044,0
44,1,2,0,1,2,2,1,6,1,177,1,999,0,1,1.1,93.85483397,-41.35074118,6.038729011,5220.078799,0
41,4,1,0,0,0,0,1,6,1,200,1,999,0,1,1.1,94.05948721,-41.22666653,3.993771146,5179.737616,0
44,4,0,4,0,2,0,1,6,1,172,1,999,0,1,1.1,94.09168903,-40.9448816,3.755998318,5168.803971,0
47,0,1,4,1,2,0,1,6,1,176,1,999,0,1,1.1,93.69561041,-50.42360391,6.703478382,5171.18957,0
57,11,1,5,1,0,0,1,6,1,211,1,999,0,1,1.1,93.13404628,-40.92961083,5.403227575,5188.181821,0
37,0,1,4,1,2,0,1,6,1,214,1,999,0,1,1.1,94.39002451,-35.04715619,2.33725568,5097.442417,0
41,1,0,0,1,2,0,1,6,1,1575,1,999,0,1,1.1,93.12217137,-41.93429727,3.54585837,5139.164447,1
55,9,1,4,0,0,0,1,6,1,349,1,999,0,1,1.1,93.7711625,-35.98087778,1.021764065,5149.989254,0
33,7,1,1,1,2,0,1,6,1,337,2,999,0,1,1.1,93.23949286,-29.77288529,4.312613767,5220.083884,0
55,4,1,5,1,2,0,1,6,1,272,1,999,0,1,1.1,92.00047742,-45.06927019,2.88547179,5139.859513,0
42,1,1,0,1,0,0,1,6,1,208,1,999,0,1,1.1,93.81327094,-36.5852935,4.841708438,5109.791217,0
50,1,1,0,1,2,0,1,6,1,193,1,999,0,1,1.1,93.64835481,-45.26581301,3.813893286,5138.575694,0
51,1,1,0,1,1,1,1,6,1,212,1,999,0,1,1.1,93.5743479,-39.87512391,2.688635473,5136.842423,0
38,0,1,1,1,0,0,1,6,1,165,2,999,0,1,1.1,93.7877094,-41.84726848,4.463740907,5105.071701,0
49,2,1,4,1,2,0,1,6,1,1042,1,999,0,1,1.1,92.58211661,-39.72287257,3.667395196,5088.705539,1
38,9,2,4,0,0,2,1,6,1,20,1,999,0,1,1.1,93.77102888,-43.03899753,0.244360492,5154.949399,0
31,0,0,1,0,0,0,1,6,1,246,1,999,0,1,1.1,94.28968874,-43.21787719,5.444761919,5132.627551,0
41,4,1,0,0,0,0,1,6,1,529,2,999,0,1,1.1,93.34371164,-37.09830999,4.521184314,5113.24726,0
39,0,1,4,0,2,2,1,6,1,192,1,999,0,1,1.1,93.28819464,-47.32112123,5.668757509,5209.113876,0
49,9,1,0,0,0,0,1,6,1,1467,1,999,0,1,1.1,93.11712866,-44.67244908,3.804025474,5187.17616,1
34,0,1,1,0,2,0,1,6,1,188,2,999,0,1,1.1,92.97349087,-40.36715913,2.764100073,5217.233846,0
35,0,1,4,0,2,0,1,6,1,180,2,999,0,1,1.1,94.11521141,-41.83568867,3.271202447,5268.40807,0
57,11,1,5,1,2,0,1,6,1,48,1,999,0,1,1.1,93.05960867,-44.80807337,4.325195616,5107.783923,0
60,0,1,5,1,0,2,1,6,1,213,2,999,0,1,1.1,94.40239073,-37.67646423,3.801325714,5216.332062,0
33,10,1,0,0,0,0,1,6,1,545,1,999,0,1,1.1,94.15483505,-45.84321561,2.801563212,5198.601182,0
42,1,1,0,0,0,2,1,6,1,583,1,999,0,1,1.1,93.4125604,-39.68225997,4.401099012,5228.896986,0
45,7,1,3,0,2,0,1,6,1,221,1,999,0,1,1.1,93.42919785,-40.39930914,5.188964304,5181.489714,0
42,4,1,4,0,0,0,1,6,1,426,1,999,0,1,1.1,94.05334634,-41.28367177,1.468429701,4998.594744,0
53,0,0,4,1,0,0,1,6,1,287,1,999,0,1,1.1,93.31418414,-43.21436173,2.651537686,5216.472731,0
37,9,2,3,0,0,0,1,6,1,197,1,999,0,1,1.1,93.67964451,-39.94267025,4.601931835,5117.821223,0
44,1,1,0,0,0,0,1,6,1,257,1,999,0,1,1.1,94.51347089,-39.66145375,-0.645152677,5214.356774,0
54,7,1,5,0,2,0,1,6,1,229,1,999,0,1,1.1,92.90605854,-39.45032592,4.973523872,5150.084361,0
49,1,1,0,0,0,0,1,6,1,55,3,999,0,1,1.1,93.57594071,-40.86946238,4.334009666,5103.659611,0
54,7,1,5,0,0,0,1,6,1,400,1,999,0,1,1.1,93.40769479,-41.08592676,3.601083331,5193.589123,0
52,0,0,4,0,0,0,1,6,1,197,1,999,0,1,1.1,94.0918162,-35.19430674,2.934459041,5090.061598,0
52,0,0,4,0,0,0,1,6,1,190,1,999,0,1,1.1,93.73348801,-46.18453264,5.404898833,5182.0827,0
43,7,2,1,1,0,0,1,6,1,21,1,999,0,1,1.1,93.40703437,-34.37430004,0.406067224,5243.738565,0
34,3,1,0,0,2,0,1,6,1,300,2,999,0,1,1.1,93.72405085,-39.10950806,4.013536649,5013.017805,0
35,0,1,1,0,2,0,1,6,1,123,2,999,0,1,1.1,93.6675908,-41.3770239,2.309885355,5077.125475,0
42,2,1,5,1,2,0,1,6,1,293,1,999,0,1,1.1,94.75130545,-41.22040877,6.145235604,5099.974245,0
43,9,1,5,1,2,2,1,6,1,325,1,999,0,1,1.1,93.58494598,-43.03190454,2.051092038,5007.257029,0
60,5,0,4,1,0,0,1,6,1,514,1,999,0,1,1.1,93.11265374,-41.75680573,2.827791073,5186.086294,0
58,10,1,0,1,0,0,1,6,1,849,2,999,0,1,1.1,93.2867304,-35.01874204,1.967347694,5191.189062,0
35,7,0,1,0,2,0,1,6,1,194,1,999,0,1,1.1,93.97956198,-36.53143369,2.440835998,5292.824342,0
55,1,1,0,1,2,0,1,6,1,212,2,999,0,1,1.1,93.89754867,-46.66493073,5.29738533,5143.584438,0
37,4,1,4,0,0,0,1,6,1,337,2,999,0,1,1.1,93.7141085,-44.06782936,4.350644585,5150.893723,0
36,1,1,1,0,0,0,1,6,1,286,1,999,0,1,1.1,93.58906603,-41.7721582,3.762222352,5238.859417,0
52,0,0,4,0,0,0,1,6,1,247,2,999,0,1,1.1,95.12049181,-45.1222157,1.250636565,5184.612647,0
57,1,0,5,1,2,0,1,6,1,518,1,999,0,1,1.1,93.77814268,-35.48146659,3.229266681,5165.791782,0
56,0,1,5,0,2,0,1,6,1,364,1,999,0,1,1.1,93.70589678,-43.68436037,1.369055733,5193.552175,0
48,1,0,0,1,2,0,1,6,1,178,1,999,0,1,1.1,93.31704177,-42.52936425,2.864557923,5212.518653,0
40,1,1,1,1,2,0,1,6,1,98,1,999,0,1,1.1,93.37402393,-43.71343609,2.34763514,5159.350002,0
49,1,0,1,0,0,0,1,6,1,439,1,999,0,1,1.1,94.39697581,-39.40630377,1.93022939,5204.923292,0
41,7,1,1,0,0,0,1,6,1,139,1,999,0,1,1.1,92.86301383,-39.58122754,3.883167615,5128.012517,0
45,9,1,1,0,2,0,1,6,1,79,1,999,0,1,1.1,93.84116858,-40.73786707,6.675115657,5113.992744,0
32,0,1,4,0,2,2,1,6,1,175,1,999,0,1,1.1,94.08626868,-44.8678763,1.58602264,5135.53276,0
42,0,1,4,0,0,2,1,6,1,262,2,999,0,1,1.1,93.54037227,-38.36380227,6.773925203,5165.739135,0
50,0,1,0,0,0,0,1,6,1,61,1,999,0,1,1.1,93.43266901,-35.83175437,5.178783452,5207.779267,0
31,9,0,3,0,2,2,1,6,1,78,1,999,0,1,1.1,93.2622002,-41.04852101,1.364618196,5137.501934,0
56,5,1,0,0,2,0,1,6,1,102,2,999,0,1,1.1,93.62138316,-32.64660457,4.585789491,5175.285676,0
41,9,1,3,1,2,0,1,6,1,579,1,999,0,1,1.1,94.47074417,-41.13531408,4.069503652,5161.585964,1
37,1,1,0,0,2,2,1,6,1,143,1,999,0,1,1.1,93.74896207,-41.51971725,4.871826567,5332.577768,0
41,9,1,3,1,0,0,1,6,1,677,1,999,0,1,1.1,94.00497231,-38.28878605,4.025609054,5178.34755,0
35,1,1,5,0,2,0,1,6,1,267,1,999,0,1,1.1,93.23459945,-38.25552311,3.566011979,5107.369019,0
37,1,1,0,0,2,0,1,6,1,345,1,999,0,1,1.1,92.87998668,-35.4557555,0.041076521,5164.157841,0
52,4,1,4,0,0,0,1,6,1,185,1,999,0,1,1.1,94.35934322,-42.67725,2.443757273,5180.38623,0
39,4,0,4,0,0,0,1,6,1,207,1,999,0,1,1.1,93.41381393,-41.00724929,1.648483748,5128.145722,0
39,3,1,0,1,0,0,1,6,1,69,2,999,0,1,1.1,94.10869156,-38.30083086,3.915760397,5182.364219,0
56,1,1,0,1,0,0,1,6,1,100,2,999,0,1,1.1,93.72849859,-31.83506609,4.30677393,5026.551738,0
34,7,1,1,0,2,0,1,6,1,125,2,999,0,1,1.1,93.1730824,-41.17855821,-0.732959445,5153.18849,0
45,1,1,0,1,2,0,1,6,1,461,1,999,0,1,1.1,93.65032993,-41.33076369,5.850505398,5127.812143,1
43,10,2,4,0,2,0,1,6,1,240,1,999,0,1,1.1,93.5993579,-41.73834232,3.256936503,5171.534017,0
56,4,1,5,0,2,0,1,6,1,70,1,999,0,1,1.1,92.98274786,-40.73114102,5.751914711,5176.999758,0
39,4,1,4,0,2,0,1,6,1,193,1,999,0,1,1.1,94.75894675,-36.81562311,4.382454011,5234.195113,0
53,1,1,0,0,2,0,1,6,1,136,1,999,0,1,1.1,93.2694288,-45.4318551,2.112211382,5226.257322,0
38,11,0,1,1,2,0,1,6,1,73,1,999,0,1,1.1,93.43768853,-43.93269797,4.247218603,5160.064485,0
42,1,1,0,1,2,0,1,6,1,528,1,999,0,1,1.1,94.46301489,-44.84141903,2.107204957,5114.928328,0
42,1,1,0,1,0,0,1,6,1,541,1,999,0,1,1.1,92.97259659,-43.43734382,2.069945631,5164.33772,0
35,0,2,1,0,2,0,1,6,1,338,1,999,0,1,1.1,94.19734935,-44.71256684,6.378726538,5214.6705,0
40,0,1,4,1,2,0,1,6,1,163,1,999,0,1,1.1,94.47442322,-39.98606147,2.830353272,5079.237916,0
51,1,1,0,0,2,0,1,6,1,87,1,999,0,1,1.1,93.02999455,-36.80976759,4.17818708,5300.807649,0
60,1,1,0,1,0,0,1,6,1,301,1,999,0,1,1.1,92.75669479,-42.61538778,0.593771079,5094.388544,0
56,2,1,5,1,2,0,1,6,1,46,1,999,0,1,1.1,93.71669225,-38.4935472,1.935301367,5189.725998,0
39,7,0,1,1,2,0,1,6,1,52,1,999,0,1,1.1,94.04390728,-38.74895211,1.753474564,5062.774283,0
56,2,1,5,1,0,0,1,6,1,204,1,999,0,1,1.1,94.45651022,-43.22643246,1.670078192,5246.750493,0
40,1,1,5,0,2,2,1,6,1,155,1,999,0,1,1.1,93.23228273,-46.0790983,-0.762855172,5172.980878,0
36,1,1,0,0,2,2,1,6,1,98,1,999,0,1,1.1,92.62411436,-39.70352367,7.20086339,5203.802964,0
51,1,1,5,1,2,0,1,6,1,71,1,999,0,1,1.1,92.2570599,-38.34435801,3.034042122,5166.417435,0
51,1,1,5,1,0,0,1,6,1,243,1,999,0,1,1.1,93.9087465,-50.14276479,4.83552386,5236.425382,0
43,9,2,3,0,2,0,1,6,1,186,2,999,0,1,1.1,93.20369902,-38.22889044,3.844725802,5258.334368,0
59,7,1,1,0,0,0,1,6,1,579,2,999,0,1,1.1,93.29504549,-37.32246826,4.341489033,5174.599906,0
24,4,2,4,0,2,0,1,6,1,165,2,999,0,1,1.1,93.76256438,-41.75487546,7.03281886,5000.463924,0
37,1,2,0,1,2,2,1,6,1,163,2,999,0,1,1.1,93.51162114,-41.27274237,6.787042382,5206.610857,0
40,1,1,0,1,0,0,1,6,1,46,1,999,0,1,1.1,93.51421145,-45.44944934,4.215285947,5065.298891,0
42,1,1,0,1,0,0,1,6,1,559,3,999,0,1,1.1,92.7399074,-42.5545978,2.930452128,5223.886049,0
39,7,0,1,1,0,0,1,6,1,2033,1,999,0,1,1.1,92.51693257,-34.25301384,3.905447182,5219.55316,0
37,2,1,0,0,0,0,1,6,1,85,1,999,0,1,1.1,93.83817778,-38.72454821,2.940541884,5258.73465,0
38,7,1,1,0,2,2,1,6,1,506,1,999,0,1,1.1,92.85314436,-45.19661147,5.967058355,5202.327469,0
56,0,0,5,1,0,0,1,6,1,114,2,999,0,1,1.1,93.72561421,-33.07358429,1.875889799,5224.928909,0
40,1,1,5,0,0,0,1,6,1,114,2,999,0,1,1.1,93.18468151,-38.08423704,3.500656687,5164.370831,0
54,4,0,4,0,2,0,1,6,1,843,2,999,0,1,1.1,93.64376998,-44.27175239,2.999998737,5141.550611,0
43,1,1,1,1,0,2,1,6,1,181,1,999,0,1,1.1,92.97855345,-44.43813746,2.196436327,5062.897476,0
36,7,1,1,1,0,0,1,6,1,427,1,999,0,1,1.1,92.43874001,-39.31512456,3.458481891,5288.82716,0
45,9,1,4,0,2,2,1,6,1,292,1,999,0,1,1.1,94.01193016,-39.08798847,1.407738422,5149.582255,0
42,0,2,4,1,0,0,1,6,1,192,1,999,0,1,1.1,93.78567212,-47.07117715,5.351994912,5113.529321,0
43,7,1,1,0,0,0,1,6,1,93,3,999,0,1,1.1,93.55424484,-41.35492755,3.394503661,5157.000235,0
46,4,1,0,0,0,0,1,6,1,128,2,999,0,1,1.1,93.86627306,-39.46658201,5.10534191,5087.966926,0
44,7,1,1,0,2,2,1,6,1,107,1,999,0,1,1.1,94.04801944,-38.96804096,2.756047134,5135.568265,0
51,0,2,0,0,0,0,1,6,1,303,2,999,0,1,1.1,93.09892661,-39.50681291,4.360210806,5126.94413,0
28,7,1,1,0,2,0,1,6,1,81,1,999,0,1,1.1,93.52551214,-43.64068163,4.558193179,5110.990939,0
37,1,1,0,0,0,0,1,6,1,270,1,999,0,1,1.1,92.7181956,-39.52111216,3.097857237,5171.028333,0
34,9,1,1,0,0,0,1,6,1,228,1,999,0,1,1.1,93.57036222,-37.63920326,5.876097691,5091.588393,0
46,1,1,0,1,2,0,1,6,1,240,1,999,0,1,1.1,93.81349441,-42.37170347,4.271550966,5177.590632,0
42,1,1,0,0,2,2,1,6,1,673,2,999,0,1,1.1,93.95624424,-39.63980558,5.317660405,5130.96098,1
36,0,1,4,0,2,0,1,6,1,233,3,999,0,1,1.1,93.8787395,-34.5736051,1.524242127,5319.295702,0
54,1,1,0,1,0,0,1,6,1,102,1,999,0,1,1.1,93.58289384,-35.80997727,3.488109412,5215.066845,0
57,4,1,4,0,0,0,1,6,1,461,1,999,0,1,1.1,93.02213845,-45.07763764,1.202277057,5188.134798,0
51,9,1,0,1,0,0,1,6,1,250,1,999,0,1,1.1,93.80002817,-44.39594318,2.994783557,5171.745433,0
54,5,1,1,1,0,0,1,6,1,130,1,999,0,1,1.1,94.03961901,-43.06259558,0.166183121,5232.146013,0
49,1,1,0,1,0,0,1,6,1,252,1,999,0,1,1.1,93.55172602,-40.18619318,6.5430909,5185.669882,0
34,0,1,4,0,2,0,1,6,1,138,1,999,0,1,1.1,92.98661482,-40.02158154,5.806120857,5176.237226,0
41,9,1,3,0,0,0,1,6,1,412,1,999,0,1,1.1,93.61119552,-41.49301991,2.451760092,5176.584409,0
38,1,2,0,0,2,0,1,6,1,179,2,999,0,1,1.1,93.88791136,-43.64131503,2.550441589,5105.032524,0
45,4,0,4,0,0,0,1,6,1,19,2,999,0,1,1.1,92.92688591,-47.55711108,3.647357308,5322.93265,0
42,9,1,4,0,0,0,1,6,1,228,2,999,0,1,1.1,93.55602716,-47.38743913,4.82024846,5149.810099,0
34,1,2,0,1,2,0,1,6,1,55,1,999,0,1,1.1,92.78946783,-41.87926563,2.392520952,5223.642559,0
48,1,1,0,0,2,0,1,6,1,717,1,999,0,1,1.1,93.76733288,-39.28276604,5.0914109,5076.985563,0
37,0,1,1,1,2,0,1,6,1,313,1,999,0,1,1.1,93.47947319,-44.45338309,6.782094717,5149.954751,0
34,1,2,0,1,0,0,1,6,1,289,1,999,0,1,1.1,93.28941944,-36.25718383,3.522590771,5117.971459,0
40,0,1,0,1,2,0,1,6,1,683,2,999,0,1,1.1,94.01974564,-36.61665276,2.463424773,5089.667094,0
43,1,1,0,0,2,0,1,6,1,1077,1,999,0,1,1.1,93.29848875,-44.2270885,6.018751435,5134.862589,0
33,7,1,1,0,0,0,1,6,1,146,2,999,0,1,1.1,93.98676406,-40.11420227,1.953087181,5237.582877,0
32,7,2,0,0,0,0,1,6,1,167,1,999,0,1,1.1,93.23351028,-41.11089635,-0.459134975,5238.997196,0
39,1,1,1,0,2,0,1,6,1,356,2,999,0,1,1.1,93.21684478,-37.1081856,2.660319106,5245.087619,0
43,0,1,5,0,0,0,1,6,1,277,1,999,0,1,1.1,93.37348682,-38.26429193,1.854820576,5196.747165,0
44,1,1,0,0,2,0,1,6,1,172,1,999,0,1,1.1,93.9374626,-48.61225406,2.857981931,5113.363596,0
35,8,2,4,1,0,0,1,6,1,218,1,999,0,1,1.1,93.05245765,-53.42244609,2.418533987,5122.165211,0
35,8,2,4,1,2,2,1,6,1,217,1,999,0,1,1.1,93.75296734,-44.71122646,3.371314598,5151.40438,0
35,10,1,3,0,0,0,1,6,1,67,1,999,0,1,1.1,94.03815546,-39.14550579,3.469897654,5119.808388,0
36,7,2,0,0,0,0,1,6,1,291,1,999,0,1,1.1,93.47458091,-47.29174407,5.652749464,5109.327789,0
35,8,2,4,1,2,0,1,6,1,248,1,999,0,1,1.1,92.85441169,-35.32512906,4.83846894,5118.318105,0
36,8,2,0,0,2,0,1,6,1,256,1,999,0,1,1.1,93.87089723,-32.91716312,4.726868968,5148.524264,0
55,3,0,4,0,0,0,1,6,1,286,1,999,0,1,1.1,93.17868012,-41.77658571,5.426958331,5073.716956,0
59,0,1,4,0,0,0,1,6,1,477,1,999,0,1,1.1,93.04731036,-38.65584817,1.991140321,5130.040428,0
57,5,1,5,1,0,0,1,6,1,611,2,999,0,1,1.1,93.64808564,-31.17026834,-1.520633236,5248.105747,0
39,1,1,3,1,2,0,1,6,1,471,1,999,0,1,1.1,93.67092137,-38.56926872,7.026066005,5101.960235,0
39,3,1,0,1,2,0,1,6,1,381,2,999,0,1,1.1,93.63534835,-41.54819885,3.762867404,5198.133295,0
30,1,2,5,0,2,0,1,6,1,251,1,999,0,1,1.1,93.51245975,-39.38510936,3.422359719,5146.851951,0
30,1,2,5,0,2,2,1,6,1,408,1,999,0,1,1.1,94.5122372,-40.70656285,3.216975002,4999.385381,0
50,3,1,0,1,0,0,1,6,1,287,1,999,0,1,1.1,93.69443809,-45.01295935,3.488338478,5257.710184,0
40,7,1,1,0,0,0,1,6,1,322,3,999,0,1,1.1,93.18094506,-36.11600575,4.172437335,5222.449345,0
35,0,1,1,0,2,0,1,6,1,216,2,999,0,1,1.1,92.45144613,-34.68954232,5.028583216,5125.70877,0
43,9,1,5,1,0,0,1,6,1,366,2,999,0,1,1.1,93.42668627,-37.71396503,5.639930901,5226.343794,0
36,7,2,0,1,2,0,1,6,1,210,1,999,0,1,1.1,93.14053533,-38.41121811,4.09402456,5303.995141,0
46,9,1,0,1,2,0,1,6,1,288,1,999,0,1,1.1,92.95439385,-35.88255993,5.37509834,5200.306784,0
